Atomic number,Relative atomic mass,Molar volume,Period number,Block,Atomic radius (calculated),Covalent radius (2008 values),Valence shell orbital radii,van der Waals radius,Electronegativity,Valence electrons,First ionization energy,Electron affinity
1,1.008,11.42,1,1,53,31,52.9,120,2.20,1,1312.05,72.8
3,6.940,13.02,2,1,167,128,164.1,212,0.98,1,520.22,59.6
4,9.012,4.85,2,1,112,96,108.5,198,1.57,2,899.50,0
5,10.810,4.39,2,2,87,84,83.9,191,2.04,3,800.64,26.7
6,12.011,5.29,2,2,67,73,64.6,177,2.55,4,1086.45,153.9
7,14.007,13.54,2,2,56,71,53.9,166,3.04,5,1402.33,7
8,15.999,17.36,2,2,48,66,46.3,150,3.44,6,1313.94,141
9,18.998,11.20,2,2,42,57,40.6,146,3.98,7,1681.05,328
11,22.990,23.78,3,1,190,166,179.4,250,0.93,1,495.85,52.8
12,24.305,14.00,3,1,145,141,136.9,251,1.31,2,737.75,0
13,26.982,10.00,3,2,118,121,142.2,225,1.61,3,577.54,42.5
14,28.085,12.06,3,2,111,111,115.1,219,1.90,4,786.52,133.6
15,30.974,17.02,3,2,98,107,97.8,190,2.19,5,1011.81,72
16,32.060,15.53,3,2,88,105,85.5,189,2.58,6,999.59,200
17,35.450,17.39,3,2,79,102,76.2,182,3.16,7,1251.19,349.0
19,39.098,45.94,4,1,243,203,230.0,273,0.82,1,418.81,48.4
20,40.078,26.20,4,1,194,176,183.9,262,1.00,2,589.83,2.37
31,69.723,11.80,4,2,136,122,140.0,232,1.81,3,578.84,28.9
32,72.630,13.63,4,2,125,120,119.8,229,2.01,4,762.18,119
33,74.922,12.95,4,2,114,119,106.6,188,2.18,5,944.45,78
34,78.971,16.42,4,2,103,120,96.8,182,2.55,6,940.96,195.0
35,79.904,19.78,4,2,94,120,89.2,186,2.96,7,1139.86,324.6
37,85.468,55.76,5,1,265,220,249.0,321,0.82,1,403.03,46.9
38,87.620,33.94,5,1,219,195,204.5,284,0.95,2,549.47,5.03
49,114.818,15.76,5,2,156,142,158.4,243,1.78,3,558.30,28.9
50,118.710,16.29,5,2,145,139,139.5,242,1.96,4,708.58,107.3
51,121.760,18.19,5,2,133,139,126.6,247,2.05,5,830.58,103.2
52,127.600,20.46,5,2,123,138,116.9,199,2.1,6,869.30,190.2
53,126.900,25.72,5,2,115,139,109.2,204,2.66,7,1008.39,295.2
55,132.910,70.94,6,1,298,244,282.4,348,0.79,1,375.70,45.5
56,137.330,38.16,6,1,253,215,235.4,303,0.89,2,502.85,13.95
81,204.380,17.22,6,2,156,145,165.9,260,1.62,3,589.36,19.2
82,207.200,18.26,6,2,154,146,148.2,254,2.33,4,715.60,35.1
83,208.980,21.31,6,2,143,148,136.1,280,2.02,5,702.95,91.2
